Printer,Electronics,Cust_440,Canada,18-03-2023,8,733,0.17,1153,4867.12,3714.12,76.31042588,996.88
Printer,Office,Cust_480,Canada,01-08-2024,4,1998,0.29,499,5674.32,5175.32,91.20599473,2317.68
Monitor,Electronics,Cust_336,UK,21-08-2023,5,214,0.08,753,984.4,231.4,23.50670459,85.6
Monitor,Accessories,Cust_440,Canada,17-10-2022,4,213,0.01,637,843.48,206.48,24.47953716,8.52
Headphones,Accessories,Cust_138,Canada,10-01-2023,7,1751,0.25,633,9192.75,8559.75,93.11413886,3064.25
Tablet,Accessories,Cust_457,USA,20-12-2024,6,118,0.26,241,523.92,282.92,54.00061078,184.08
Mouse,Office,Cust_193,Germany,15-06-2022,2,1703,0.27,877,2486.38,1609.38,64.72783726,919.62
Phone,Electronics,Cust_194,UK,21-06-2022,4,932,0.15,1298,3168.8,1870.8,59.03812169,559.2
Headphones,Electronics,Cust_464,Germany,16-12-2024,2,248,0.1,242,446.4,204.4,45.78853047,49.6
Keyboard,Accessories,Cust_72,Australia,29-03-2023,4,469,0.07,1465,17446.8,15981.8,91.60304468,131.32
Keyboard,Electronics,Cust_161,Germany,13-07-2022,4,1005,0.24,391,3055.2,2664.2,87.20214716,964.8
Printer,Electronics,Cust_494,India,13-12-2024,3,1774,0.12,1238,4683.36,3445.36,73.56598681,638.64
Laptop,Electronics,Cust_371,India,20-03-2023,5,1012,0.07,1207,4705.8,3498.8,74.35080114,354.2
Tablet,Office,Cust_29,UK,14-09-2023,2,63,0.08,938,115.92,-822.08,-709.178744,10.08
Laptop,Electronics,Cust_289,USA,11-03-2023,2,674,0.29,1463,957.08,-505.92,-52.86078489,390.92
Keyboard,Electronics,Cust_355,Canada,14-01-2023,7,648,0.14,649,3900.96,3251.96,83.3630696,635.04
Phone,Accessories,Cust_382,Australia,16-05-2022,7,178,0.01,1151,1233.54,82.54,6.691311186,12.46
Laptop,Accessories,Cust_452,Australia,03-07-2023,5,1241,0.23,442,4777.85,4335.85,90.74897705,1427.15
Printer,Accessories,Cust_106,India,21-04-2024,9,850,0.2,98,6120,6022,98.39869281,1530
Printer,Office,Cust_76,Australia,29-11-2022,3,801,0.07,1322,2234.79,912.79,40.84455363,168.21
Tablet,Electronics,Cust_386,USA,30-04-2024,9,474,0,830,3284.82,2454.82,74.73225321,0
Headphones,Office,Cust_434,Germany,16-08-2022,7,1052,0.29,858,5228.44,4370.44,83.58975144,2135.56
Printer,Accessories,Cust_377,UK,21-04-2023,6,1636,0.27,1339,7165.68,5826.68,81.31370645,2650.32
Laptop,Accessories,Cust_360,UK,12-09-2022,8,1202,0.22,1426,7500.48,6074.48,80.98788344,2115.52
Tablet,Accessories,Cust_323,Germany,13-09-2023,1,1624,0.03,1226,1575.28,349.28,22.17256615,48.72
Laptop,Office,Cust_54,Canada,06-02-2024,1,985,0.1,205,886.5,681.5,76.87535251,98.5
Tablet,Accessories,Cust_61,USA,16-05-2023,7,856,0.25,887,4494,3607,80.26257232,1498
Printer,Electronics,Cust_109,Germany,01-07-2024,1,1678,0.18,486,1375.96,889.96,64.67920579,302.04
Phone,Office,Cust_175,Canada,12-12-2022,3,157,0.24,539,357.96,-181.04,-50.57548329,113.04
Headphones,Accessories,Cust_169,India,03-11-2022,8,1394,0.01,409,11040.48,10631.48,96.29545092,111.52
Printer,Accessories,Cust_146,India,10-01-2023,8,912,0.18,251,5982.72,5731.72,95.80458387,1313.28
Headphones,Electronics,Cust_125,Germany,04-10-2024,9,1765,0.04,1152,15249.6,14097.6,92.44570349,635.4
Keyboard,Accessories,Cust_280,UK,15-08-2024,8,1143,0,772,9144,8372,91.55730534,0
Monitor,Accessories,Cust_88,UK,02-04-2024,5,486,0.04,273,2332.8,2059.8,88.2973251,97.2
Keyboard,Accessories,Cust_37,USA,29-07-2022,3,451,0.07,1094,1258.29,164.29,13.05660857,94.71
Phone,Office,Cust_48,India,12-06-2024,3,1754,0.22,917,4104.36,3187.36,77.65790525,1157.64
Printer,Electronics,Cust_141,India,03-02-2023,7,1679,0.28,331,8462.16,8131.16,96.08846914,3290.84
Printer,Electronics,Cust_241,USA,27-02-2023,9,945,0.01,298,8419.95,8121.95,96.46078658,85.05
Laptop,Accessories,Cust_180,Germany,24-11-2023,6,1005,0.22,1012,47034,46022,97.84836501,1326.6
Monitor,Office,Cust_477,India,31-05-2023,5,973,0,753,4183.9,3430.9,82.00243792,0
Headphones,Electronics,Cust_17,Australia,01-08-2024,4,1938,0.09,669,7054.32,6385.32,90.51644949,697.68
Monitor,Office,Cust_139,Australia,11-08-2022,1,794,0.05,128,754.3,626.3,83.03062442,39.7
Headphones,Electronics,Cust_176,Australia,25-11-2023,2,865,0.11,369,1539.7,1170.7,76.03429239,190.3
Mouse,Accessories,Cust_249,India,13-02-2022,6,562,0.15,380,2866.2,2486.2,86.74202777,505.8
Mouse,Electronics,Cust_52,Canada,11-11-2023,9,1923,0.08,753,15922.44,15169.44,95.27082533,1384.56
Mouse,Electronics,Cust_369,UK,25-05-2023,1,54,0.08,235,49.68,-185.32,-373.0273752,4.32
Headphones,Electronics,Cust_232,Canada,30-10-2024,3,1578,0.09,118,4307.94,4189.94,97.26087179,426.06
Laptop,Accessories,Cust_58,India,23-03-2023,2,382,0.21,613,603.56,-9.44,-1.564053284,160.44
Mouse,Electronics,Cust_376,Canada,03-02-2024,4,1751,0.28,1121,5042.88,3921.88,77.770639,1961.12
Phone,Office,Cust_326,USA,27-06-2022,1,554,0.22,838,432.12,-405.88,-93.9276127,121.88
Monitor,Office,Cust_487,USA,19-12-2024,1,542,0.14,973,466.12,-506.88,-108.7445293,75.88
Mouse,Accessories,Cust_319,Canada,19-03-2022,9,182,0.15,611,1392.3,781.3,56.11577965,245.7
Monitor,Office,Cust_251,USA,12-10-2023,1,1581,0.1,383,1422.9,1039.9,73.08314007,158.1
Laptop,Office,Cust_332,USA,27-04-2022,9,1011,0.01,1055,9008.01,7953.01,88.28820128,90.99
Tablet,Accessories,Cust_469,India,03-10-2022,5,1442,0.19,1190,5840.1,4650.1,79.62363658,1369.9
Headphones,Office,Cust_410,India,28-06-2023,6,1532,0,912,9192,8280,90.07832898,0
Headphones,Electronics,Cust_273,UK,20-07-2022,3,1819,0,1432,5457,4025,73.75847535,0
Printer,Accessories,Cust_17,Germany,18-06-2023,1,1977,0.12,905,1739.76,834.76,47.98133076,237.24
Phone,Office,Cust_220,UK,21-05-2023,1,596,0.23,727,458.92,-268.08,-58.41541009,137.08
Phone,Office,Cust_404,Canada,11-06-2023,2,159,0.13,409,276.66,-132.34,-47.83488759,41.34
Monitor,Accessories,Cust_100,UK,17-07-2024,9,1465,0.29,1412,9361.35,7949.35,84.91670539,3823.65
Mouse,Electronics,Cust_13,Germany,04-06-2022,4,274,0.04,431,1052.16,621.16,59.03664842,43.84
Printer,Office,Cust_392,India,17-09-2024,7,814,0.07,564,5299.14,4735.14,89.35676355,398.86
Headphones,Electronics,Cust_21,Germany,01-02-2024,8,470,0,191,3760,3569,94.92021277,0
Tablet,Electronics,Cust_287,UK,05-12-2024,7,206,0.27,72,1052.66,980.66,93.16018468,389.34
Headphones,Office,Cust_135,Canada,25-01-2023,2,1416,0.02,523,2775.36,2252.36,81.15559783,56.64
Keyboard,Electronics,Cust_104,UK,24-03-2024,6,1616,0.22,1099,7562.88,6463.88,85.46849877,2133.12
Mouse,Office,Cust_10,USA,28-01-2022,1,1113,0.17,432,923.79,491.79,53.23612509,189.21
Laptop,Electronics,Cust_115,Germany,15-07-2022,6,1412,0.27,918,6184.56,5266.56,85.15658349,2287.44
Mouse,Electronics,Cust_165,UK,27-07-2024,7,1221,0.11,677,7606.83,6929.83,91.10010346,940.17
Tablet,Electronics,Cust_330,Australia,03-10-2023,2,1476,0.26,387,2184.48,1797.48,82.28411338,767.52
Tablet,Office,Cust_71,UK,10-11-2023,4,918,0.12,465,3231.36,2766.36,85.60977421,440.64
