Product,Category,Customer,Region,Date,Quantity,Unit Price,Discount,Cost,Sales
Printer,Electronics,Cust_440,Canada,18-03-2023,8,733,0.17,1153,4867.12
Printer,Office,Cust_480,Canada,01-08-2024,4,1998,0.29,499,5674.32
,Electronics,Cust_205,UK,22-10-2024,8,1470,0.22,1040,9172.8
Monitor,Electronics,Cust_336,UK,21-08-2023,5,214,0.08,753,984.4
Monitor,Accessories,Cust_440,Canada,17-10-2022,4,213,0.01,637,843.48
Headphones,Accessories,Cust_138,Canada,10-01-2023,7,1751,0.25,633,9192.75
Tablet,Accessories,Cust_457,USA,20-12-2024,6,118,0.26,241,523.92
Mouse,Office,Cust_193,Germany,15-06-2022,2,1703,0.27,877,2486.38
Phone,Electronics,Cust_194,UK,21-06-2022,4,932,0.15,1298,3168.8
Headphones,Electronics,Cust_464,Germany,16-12-2024,2,248,0.1,242,446.4
Keyboard,Accessories,Cust_72,Australia,29-03-2023,4,469,0.07,1465,17446.8
Keyboard,Electronics,Cust_161,Germany,13-07-2022,4,1005,0.24,391,3055.2
Printer,Electronics,Cust_494,India,13-12-2024,3,1774,0.12,1238,4683.36
Keyboard,Office,Cust_115,USA,31-07-2023,1,430,0.16,,361.2
Laptop,Electronics,Cust_371,India,20-03-2023,5,1012,0.07,1207,4705.8
Tablet,Office,Cust_29,UK,14-09-2023,2,63,0.08,938,115.92
Laptop,Electronics,Cust_289,USA,11-03-2023,2,674,0.29,1463,957.08
Keyboard,Electronics,Cust_355,Canada,14-01-2023,7,648,0.14,649,3900.96
Phone,Accessories,Cust_382,Australia,16-05-2022,7,178,0.01,1151,1233.54
Laptop,Accessories,Cust_452,Australia,03-07-2023,5,1241,0.23,442,4777.85
Printer,Accessories,Cust_106,India,21-04-2024,9,850,0.2,98,6120
Printer,Office,Cust_76,Australia,29-11-2022,3,801,0.07,1322,2234.79
Tablet,Electronics,Cust_386,USA,30-04-2024,9,474,,830,3284.82
Headphones,Office,Cust_434,Germany,16-08-2022,7,1052,0.29,858,5228.44
Printer,Accessories,Cust_377,UK,21-04-2023,6,1636,0.27,1339,7165.68
Laptop,Accessories,Cust_360,UK,12-09-2022,8,1202,0.22,1426,7500.48
Tablet,Accessories,Cust_323,Germany,13-09-2023,1,1624,0.03,1226,1575.28
Laptop,Office,Cust_54,Canada,06-02-2024,1,985,0.1,205,886.5
Tablet,Accessories,Cust_61,USA,16-05-2023,7,856,0.25,887,4494
Printer,Electronics,Cust_109,Germany,01-07-2024,1,1678,0.18,486,1375.96
Phone,Office,Cust_175,Canada,12-12-2022,3,157,0.24,539,357.96
Headphones,Accessories,Cust_169,India,03-11-2022,8,1394,0.01,409,11040.48
Printer,Accessories,Cust_146,India,10-01-2023,8,912,0.18,251,5982.72
Headphones,Electronics,Cust_125,Germany,04-10-2024,9,1765,0.04,1152,15249.6
Keyboard,Accessories,Cust_280,UK,15-08-2024,8,1143,0,772,9144
Monitor,Accessories,Cust_88,UK,02-04-2024,5,486,0.04,273,2332.8
Keyboard,Accessories,Cust_37,USA,29-07-2022,3,451,0.07,1094,1258.29
Phone,Office,Cust_48,India,12-06-2024,3,1754,0.22,917,4104.36
Printer,Electronics,Cust_141,India,03-02-2023,7,1679,0.28,331,8462.16
Printer,Electronics,Cust_241,USA,27-02-2023,9,945,0.01,298,8419.95
Laptop,Accessories,Cust_180,Germany,24-11-2023,6,1005,0.22,1012,47034
Monitor,Office,Cust_477,India,31-05-2023,5,973,,753,4183.9
Headphones,Electronics,Cust_17,Australia,01-08-2024,4,1938,0.09,669,7054.32
Monitor,Office,Cust_139,Australia,11-08-2022,1,794,0.05,128,754.3
Headphones,Electronics,Cust_176,Australia,25-11-2023,2,865,0.11,369,1539.7
Mouse,Accessories,Cust_249,India,13-02-2022,6,562,0.15,380,2866.2
Mouse,Electronics,Cust_52,Canada,11-11-2023,9,1923,0.08,753,15922.44
,Office,Cust_210,Canada,22-12-2023,4,1370,0.21,976,4329.2
Mouse,Electronics,Cust_369,UK,25-05-2023,1,54,0.08,235,49.68
Headphones,Electronics,Cust_232,Canada,30-10-2024,3,1578,0.09,118,4307.94
Laptop,Accessories,Cust_58,India,23-03-2023,2,382,0.21,613,603.56
Mouse,Electronics,Cust_376,Canada,03-02-2024,4,1751,0.28,1121,5042.88
Phone,Office,Cust_326,USA,27-06-2022,1,554,0.22,838,432.12
Monitor,Office,Cust_487,USA,19-12-2024,1,542,0.14,973,466.12
Mouse,Accessories,Cust_319,Canada,19-03-2022,9,182,0.15,611,1392.3
Monitor,Office,Cust_251,USA,12-10-2023,1,1581,0.1,383,1422.9
Laptop,Office,Cust_332,USA,27-04-2022,9,1011,0.01,1055,9008.01
Tablet,Accessories,Cust_469,India,03-10-2022,5,1442,0.19,1190,5840.1
Headphones,Office,Cust_410,India,28-06-2023,6,1532,0,912,9192
Headphones,Electronics,Cust_273,UK,20-07-2022,3,1819,0,1432,5457
Printer,Accessories,Cust_17,Germany,18-06-2023,1,1977,0.12,905,1739.76
Phone,Office,Cust_220,UK,21-05-2023,1,596,0.23,727,458.92
Phone,Office,Cust_404,Canada,11-06-2023,2,159,0.13,409,276.66
Monitor,Accessories,Cust_100,UK,17-07-2024,9,1465,0.29,1412,9361.35
Mouse,Electronics,Cust_13,Germany,04-06-2022,4,274,0.04,431,1052.16
Printer,Office,Cust_392,India,17-09-2024,7,814,0.07,564,5299.14
Headphones,Electronics,Cust_21,Germany,01-02-2024,8,470,0,191,3760
Tablet,Electronics,Cust_287,UK,05-12-2024,7,206,0.27,72,1052.66
Headphones,Office,Cust_135,Canada,25-01-2023,2,1416,0.02,523,2775.36
Keyboard,Electronics,Cust_104,UK,24-03-2024,6,1616,0.22,1099,7562.88
Mouse,Office,Cust_10,USA,28-01-2022,1,1113,0.17,432,923.79
Laptop,Electronics,Cust_115,Germany,15-07-2022,6,1412,0.27,918,6184.56
Mouse,Electronics,Cust_165,UK,27-07-2024,7,1221,0.11,677,7606.83
Tablet,Electronics,Cust_330,Australia,03-10-2023,2,1476,0.26,387,2184.48
Tablet,Office,Cust_71,UK,10-11-2023,4,918,0.12,465,3231.36
Printer,Accessories,Cust_200,UK,28-07-2023,1,1717,0.08,1210,1579.64
Tablet,Electronics,Cust_111,Australia,29-01-2024,8,786,,947,4778.88
Headphones,Office,Cust_205,USA,08-04-2023,9,293,0.17,1000,2188.71
Mouse,Accessories,Cust_127,Australia,05-08-2024,6,1066,0.27,1111,4669.08
Keyboard,Accessories,Cust_363,Australia,08-05-2022,6,1935,0.11,1348,10332.9
Monitor,Accessories,Cust_373,Germany,01-09-2022,5,1667,0.24,989,6334.6
Phone,Office,Cust_366,Germany,28-05-2023,8,1318,0.09,896,9595.04
Monitor,Office,Cust_372,Canada,11-11-2024,7,1374,0.21,1014,7598.22
Laptop,Accessories,Cust_83,Australia,05-12-2022,4,338,0.09,119,1230.32
Phone,Accessories,Cust_63,USA,28-04-2024,9,672,0.15,185,5140.8
Laptop,Accessories,Cust_9,Australia,16-01-2023,7,1458,0.24,828,77565.6
Monitor,Office,Cust_420,USA,22-03-2023,8,1879,0.18,1043,12326.24
Monitor,Office,Cust_46,India,22-08-2023,2,81,0.07,439,150.66
Keyboard,Office,Cust_176,Australia,08-09-2022,7,1740,0.22,1392,9500.4
Tablet,Accessories,Cust_236,UK,30-03-2022,2,1053,0.29,113,1495.26
Keyboard,Accessories,Cust_280,India,29-11-2024,5,805,0.05,1475,3823.75
Monitor,Electronics,Cust_492,Australia,02-06-2024,9,777,,397,6013.98
Tablet,Accessories,Cust_110,Germany,09-12-2024,7,1630,0.15,607,9698.5
